"persid","hhid","age","age_group","age_group_2","sex","work_status","work_full","study_full","occupation_cat","industry_cat","SurveyPeriod","HomeSubRegion","HOMEPC","participant_wt","ses","time_base_car","distance_base_car","time_base_walking","distance_base_walking","time_base_public.transport","distance_base_public.transport","time_base_other","distance_base_other","time_base_bicycle","distance_base_bicycle","time_scen_car","distance_scen_car","time_scen_walking","distance_scen_walking","time_scen_public.transport","distance_scen_public.transport","time_scen_other","distance_scen_other","time_scen_bicycle","distance_scen_bicycle","walk_base","walk_scen","walk_base_min"
"Y18H2910533P02","Y18H2910533",63,14,62,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3038,80.88,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2910535P01","Y18H2910535",67,15,67,"female","employed","Yes",NA,"Professionals","Health Care and Social Assistance","2017-18","MELB - outer",3038,199.2,7,10.5,51.61,12.25,6.91,0,0,0,0,0,0,9.33333333333333,46.66,12.25,6.91,0,0,0,0,3.15,4.95,"Yes","Yes","Yes"
"Y18H2910538P01","Y18H2910538",48,11,47,"male","employed","Yes",NA,"Managers","Transport, Postal and Warehousing","2017-18","MELB - outer",3038,95.72,7,16.3333333333333,74.38,0,0,0,0,0,0,0,0,14.5833333333333,69.63,0,0,0,0,0,0,3.02272727272727,4.75,"No","No","No"
"Y18H2910538P02","Y18H2910538",46,11,47,"female","employed","No",NA,"Clerical and Administrative Workers","Transport, Postal and Warehousing","2017-18","MELB - outer",3038,92.69,7,8.16666666666667,34.25,0,0,0,0,0,0,0,0,8.16666666666667,34.25,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2910539P01","Y18H2910539",49,11,47,"male","employed","Yes",NA,"Technicians and Trades Workers","Construction","2017-18","MELB - outer",3038,96.2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2910539P02","Y18H2910539",46,11,47,"female","employed","Yes",NA,"Clerical and Administrative Workers","Public Administration and Safety","2017-18","MELB - outer",3038,93.16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920104P01","Y18H2920104",70,16,72,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3977,375.06,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920104P02","Y18H2920104",69,15,67,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3977,318.33,6,2.33333333333333,5.77,0,0,0,0,0,0,0,0,0,0,1.8025,1.03,0,0,0,0,3.01636363636364,4.74,"No","Yes","No"
"Y18H2920104P03","Y18H2920104",20,6,22,"female","employed","Yes",NA,"Sales Workers","Retail Trade","2017-18","MELB - outer",3977,493.63,6,3.5,7.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04,7.92,"No","No","No"
"Y18H2920108P01","Y18H2920108",57,13,57,"male","employed","Yes",NA,"Machinery Operators and Drivers","Transport, Postal and Warehousing","2017-18","MELB - outer",3977,317.13,6,8.75,38.53,0,0,0,0,0,0,0,0,7,31.74,0,0,0,0,0,0,4.32090909090909,6.79,"No","No","No"
"Y18H2920108P02","Y18H2920108",52,12,52,"female","employed","Yes",NA,"Clerical and Administrative Workers","Other Services","2017-18","MELB - outer",3977,307.09,6,10.2666666666667,33.55,0,0,0,0,0,0,0,0,4.55,18.27,5.5825,3.19,0,0,0,0,7.69363636363636,12.09,"No","Yes","No"
"Y18H2920108P03","Y18H2920108",23,6,22,"female","employed","Yes",NA,"Clerical and Administrative Workers","Retail Trade","2017-18","MELB - outer",3977,483.73,6,6.41666666666667,33.56,0,0,0,0,0,0,0,0,5.71666666666667,26.47,0,0,0,0,0,0,4.51181818181818,7.09,"No","No","No"
"Y18H2920113P01","Y18H2920113",51,12,52,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3977,770.62,6,4.08333333333333,8.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43454545454545,8.54,"No","No","No"
"Y18H2920113P02","Y18H2920113",49,11,47,"female","employed","No",NA,"Community and Personal Service Workers","Health Care and Social Assistance","2017-18","MELB - outer",3977,897.42,6,14,79.52,0,0,0,0,0,0,0,0,14,79.52,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920113P03","Y18H2920113",26,7,27,"female","employed","Yes",NA,"Professionals","Education and Training","2017-18","MELB - outer",3977,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920113P04","Y18H2920113",18,5,17,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3977,990.14,6,14,79.52,0,0,0,0,0,0,0,0,14,79.52,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920116P01","Y18H2920116",52,12,52,"male","employed","Yes",NA,"Clerical and Administrative Workers","Financial and Insurance Services","2017-18","MELB - outer",3977,319.15,6,2.8,5.67,3.15,1.79,16.2166666666667,101.01,0,0,0,0,0,0,3.15,1.79,16.2166666666667,101.01,0,0,3.60818181818182,5.67,"Yes","Yes","Yes"
"Y18H2920116P02","Y18H2920116",47,11,47,"female","employed","Yes",NA,"Clerical and Administrative Workers","Electricity, Gas, Water and Waste Services","2017-18","MELB - outer",3977,350.06,6,9.33333333333333,51.56,0,0,0,0,0,0,0,0,9.33333333333333,51.56,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920116P03","Y18H2920116",18,5,17,"male","unemployed","No","Full time","Not in Work Force","Not in Work Force","2017-18","MELB - outer",3977,389.68,6,0,0,0,0,0,0,1.63333333333333,1.08,0,0,0,0,0,0,0,0,1.63333333333333,1.08,0,0,"No","No","No"
"Y18H2920118P01","Y18H2920118",61,14,62,"female","employed","Yes",NA,"Managers","Rental, Hiring and Real Estate Services","2017-18","MELB - outer",3977,308.25,6,21.5833333333333,120.99,0,0,0,0,0,0,0,0,19.8333333333333,112.57,0,0,0,0,0,0,5.35818181818182,8.42,"No","No","No"
"Y18H2920118P02","Y18H2920118",61,14,62,"male","employed","Yes",NA,"Managers","Rental, Hiring and Real Estate Services","2017-18","MELB - outer",3977,318.33,6,6.41666666666667,20.22,0,0,0,0,0,0,0,0,6.41666666666667,20.22,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920128P01","Y18H2920128",30,8,32,"male","employed","Yes",NA,"Sales Workers","Retail Trade","2017-18","MELB - outer",3977,0,6,2.33333333333333,9.81,0,0,0,0,0,0,0,0,1.16666666666667,5.02,0,0,0,0,0,0,3.04818181818182,4.79,"No","No","No"
"Y18H2920128P02","Y18H2920128",30,8,32,"female","employed","No",NA,"Professionals","Financial and Insurance Services","2017-18","MELB - outer",3977,0,6,2.33333333333333,9.81,0,0,0,0,0,0,0,0,1.16666666666667,5.02,0,0,0,0,0,0,3.04818181818182,4.79,"No","No","No"
"Y18H2920131P01","Y18H2920131",55,13,57,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3977,311.81,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920131P02","Y18H2920131",24,6,22,"male","employed","Yes",NA,"Labourers","Retail Trade","2017-18","MELB - outer",3977,507.22,6,5.25,27.32,0,0,0,0,0,0,0,0,5.25,27.32,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920131P03","Y18H2920131",24,6,22,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3977,491.16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920133P01","Y18H2920133",40,10,42,"male","employed","Yes",NA,"Professionals","Construction","2017-18","MELB - outer",3977,366.45,6,12.25,60.86,2.91666666666667,1.1,0,0,0,0,0,0,12.25,60.86,2.91666666666667,1.1,0,0,0,0,0,0,"Yes","Yes","Yes"
"Y18H2920133P02","Y18H2920133",35,9,37,"female","employed","No",NA,"Clerical and Administrative Workers","Electricity, Gas, Water and Waste Services","2017-18","MELB - outer",3977,391.37,6,7.81666666666667,29.47,0,0,0,0,0,0,0,0,1.16666666666667,7.32,2.8525,1.63,0,0,0,0,13.0581818181818,20.52,"No","Yes","No"
"Y18H2920137P01","Y18H2920137",26,7,27,"male","employed","Yes",NA,"Labourers","Construction","2017-18","MELB - outer",3977,502.73,6,16.3333333333333,67.76,0,0,0,0,0,0,0,0,16.3333333333333,67.76,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920137P02","Y18H2920137",26,7,27,"female","employed","Yes",NA,"Managers","Rental, Hiring and Real Estate Services","2017-18","MELB - outer",3977,486.82,6,11.0833333333333,60.7,0,0,0,0,0,0,0,0,11.0833333333333,60.7,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920139P01","Y18H2920139",60,14,62,"male","employed","Yes",NA,"Managers","Financial and Insurance Services","2017-18","MELB - outer",3977,318.33,6,21,101.73,7.58333333333333,2.36,0,0,0,0,0,0,19.8333333333333,98.91,7.58333333333333,2.36,0,0,0,0,1.79454545454545,2.82,"Yes","Yes","Yes"
"Y18H2920139P02","Y18H2920139",58,13,57,"female","employed","Yes",NA,"Clerical and Administrative Workers","Public Administration and Safety","2017-18","MELB - outer",3977,313.38,6,5.25,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78181818181818,13.8,"No","No","No"
"Y18H2920203P01","Y18H2920203",73,16,72,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3156,89.94,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920205P01","Y18H2920205",71,16,72,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3156,93.32,8,3.85,8.27,0,0,0,0,0,0,0,0,0,0,9.975,5.7,0,0,0,0,1.63545454545455,2.57,"No","Yes","No"
"Y18H2920205P02","Y18H2920205",64,14,62,"female","employed","No",NA,"Professionals","Health Care and Social Assistance","2017-18","MELB - outer",3156,74.27,8,1.51666666666667,2.93,3.5,1.96,0,0,0,0,0,0,0,0,8.6275,4.89,0,0,0,0,0,0,"Yes","Yes","Yes"
"Y18H2920208P01","Y18H2920208",73,16,72,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3156,91.48,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920208P02","Y18H2920208",60,14,62,"female","employed","Yes",NA,"Clerical and Administrative Workers","Public Administration and Safety","2017-18","MELB - outer",3156,72.8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920212P01","Y18H2920212",70,16,72,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3156,90.37,8,9.91666666666667,35.87,7,2.4,0,0,0,0,0,0,8.16666666666667,32.59,7,2.4,0,0,0,0,2.08727272727273,3.28,"Yes","Yes","Yes"
"Y18H2920215P01","Y18H2920215",27,7,27,"male","employed","Yes",NA,"Sales Workers","Retail Trade","2017-18","MELB - outer",3156,120.4,8,5.83333333333333,40.93,1.16666666666667,1.12,0,0,0,0,0,0,5.83333333333333,40.93,1.16666666666667,1.12,0,0,0,0,0,0,"Yes","Yes","No"
"Y18H2920215P02","Y18H2920215",23,6,22,"female","employed","No",NA,"Sales Workers","Retail Trade","2017-18","MELB - outer",3156,116.58,8,6.41666666666667,32.51,2.33333333333333,2.24,0,0,0,0,0,0,6.41666666666667,32.51,2.33333333333333,2.24,0,0,0,0,0,0,"Yes","Yes","Yes"
"Y18H2920217P01","Y18H2920217",70,16,72,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3156,89.94,8,7.58333333333333,21.56,3.5,1.44,0,0,0,0,0,0,6.41666666666667,19.63,6.8775,3.37,0,0,0,0,0,0,"Yes","Yes","Yes"
"Y18H2920218P01","Y18H2920218",47,11,47,"male","employed","Yes",NA,"Professionals","Other Services","2017-18","MELB - outer",3156,88.34,8,1.16666666666667,3.38,0,0,0,0,11.6666666666667,44.69,0,0,0,0,5.915,3.38,0,0,11.6666666666667,44.69,0,0,"No","Yes","No"
"Y18H2920218P02","Y18H2920218",28,7,27,"male","employed","Yes",NA,"Managers","Financial and Insurance Services","2017-18","MELB - outer",3156,122.86,8,13.7666666666667,56.04,0,0,0,0,0,0,0,0,13.7666666666667,56.04,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920219P01","Y18H2920219",37,9,37,"female","employed","Yes",NA,"Managers","Electricity, Gas, Water and Waste Services","2017-18","MELB - outer",3156,94.32,8,8.16666666666667,28.46,0.233333333333333,0.14,0,0,0,0,0,0,8.16666666666667,28.46,0.233333333333333,0.14,0,0,0,0,0,0,"Yes","Yes","No"
"Y18H2920219P02","Y18H2920219",30,8,32,"female","employed","No",NA,"Community and Personal Service Workers","Arts and Recreation Services","2017-18","MELB - outer",3156,94.32,8,17.5,105.51,0,0,0,0,0,0,0,0,17.5,105.51,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920222P01","Y18H2920222",77,17,77,"male","employed","No",NA,"Labourers","Other Services","2017-18","MELB - outer",3156,91.48,8,11.3166666666667,24.98,0,0,0,0,0,0,0,0,5.25,18.99,5.81,3.32,0,0,0,0,1.69909090909091,2.67,"No","Yes","No"
"Y18H2920222P02","Y18H2920222",77,17,77,"female","unemployed","No",NA,"Clerical and Administrative Workers","Other Services","2017-18","MELB - outer",3156,88.58,8,6.65,18.06,0,0,0,0,0,0,0,0,6.65,18.06,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920224P01","Y18H2920224",63,14,62,"male","employed","Yes",NA,"Technicians and Trades Workers","Electricity, Gas, Water and Waste Services","2017-18","MELB - outer",3156,76.34,8,7,40.01,0,0,0,0,0,0,0,0,7,40.01,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920225P01","Y18H2920225",51,12,52,"female","employed","No",NA,"Professionals","Education and Training","2017-18","MELB - outer",3156,75.53,8,17.15,79.61,0,0,0,0,0,0,0,0,17.15,79.61,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920226P01","Y18H2920226",70,16,72,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3156,90.37,8,3.26666666666667,4.77,0,0,0,0,0,0,0,0,0,0,4.2,2.4,0,0,0,0,1.50818181818182,2.37,"No","Yes","No"
"Y18H2920231P01","Y18H2920231",79,17,77,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3156,92.88,8,0,0,10.15,5.02,14.9333333333333,74.34,0,0,0,0,0,0,10.15,5.02,14.9333333333333,74.34,0,0,0,0,"Yes","Yes","Yes"
"Y18H2920231P02","Y18H2920231",77,17,77,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3156,89.94,8,0,0,10.15,5.02,14.9333333333333,74.34,0,0,0,0,0,0,10.15,5.02,14.9333333333333,74.34,0,0,0,0,"Yes","Yes","Yes"
"Y18H2920232P01","Y18H2920232",60,14,62,"female","employed","Yes",NA,"Clerical and Administrative Workers","Construction","2017-18","MELB - outer",3156,74.29,8,7,18.41,0,0,0,0,0,0,0,0,7,18.41,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920233P01","Y18H2920233",78,17,77,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3156,93.32,8,2.1,5.99,0,0,0,0,0,0,0,0,0,0,2.66,1.52,0,0,0,0,2.84454545454545,4.47,"No","Yes","No"
"Y18H2920234P01","Y18H2920234",64,14,62,"male","employed","Yes",NA,"Managers","Wholesale Trade","2017-18","MELB - outer",3156,183.97,8,3.03333333333333,8.82,3.5,2.9,0,0,0,0,0,0,0,0,5.8275,4.23,0,0,0,0,4.76636363636364,7.49,"Yes","Yes","Yes"
"Y18H2920234P02","Y18H2920234",64,14,62,"female","employed","No",NA,"Managers","Wholesale Trade","2017-18","MELB - outer",3156,175,8,10.5,65.05,0,0,0,0,0,0,0,0,8.16666666666667,56.22,0,0,0,0,0,0,5.61909090909091,8.83,"No","No","No"
"Y18H2920235P01","Y18H2920235",29,7,27,"male","employed","Yes",NA,"Managers","Professional, Scientific and Technical Services","2017-18","MELB - outer",3156,329.48,8,6.41666666666667,35.25,0,0,0,0,0,0,0,0,6.41666666666667,35.25,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920235P02","Y18H2920235",28,7,27,"female","employed","No",NA,"Professionals","Health Care and Social Assistance","2017-18","MELB - outer",3156,313.42,8,5.25,30.18,0,0,0,0,0,0,0,0,4.08333333333333,27.67,0,0,0,0,0,0,1.59727272727273,2.51,"No","No","No"
"Y18H2920237P01","Y18H2920237",72,16,72,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3156,92.06,8,4.08333333333333,14.46,0,0,0,0,0,0,0,0,4.08333333333333,14.46,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920237P02","Y18H2920237",64,14,62,"female","employed","No",NA,"Professionals","Arts and Recreation Services","2017-18","MELB - outer",3156,73.27,8,4.08333333333333,14.46,3.5,0.88,0,0,0,0,0,0,4.08333333333333,14.46,3.5,0.88,0,0,0,0,0,0,"Yes","Yes","Yes"
"Y18H2920238P01","Y18H2920238",58,13,57,"male","employed","Yes",NA,"Technicians and Trades Workers","Construction","2017-18","MELB - outer",3156,77.61,8,7,37.28,0,0,0,0,0,0,0,0,7,37.28,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920238P02","Y18H2920238",49,11,47,"female","employed","Yes",NA,"Clerical and Administrative Workers","Education and Training","2017-18","MELB - outer",3156,85.12,8,4.66666666666667,18.8,0,0,0,0,0,0,0,0,4.66666666666667,18.8,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920241P01","Y18H2920241",85,19,87,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3156,224.17,8,1.16666666666667,3.39,3.5,0.66,0,0,0,0,0,0,0,0,9.4325,4.05,0,0,0,0,0,0,"Yes","Yes","Yes"
"Y18H2920241P02","Y18H2920241",85,19,87,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3156,213.24,8,1.16666666666667,3.39,3.5,0.66,0,0,0,0,0,0,0,0,9.4325,4.05,0,0,0,0,0,0,"Yes","Yes","Yes"
"Y18H2920242P01","Y18H2920242",82,18,82,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3156,233.56,8,3.5,18.88,0,0,0,0,0,0,0,0,3.5,18.88,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920242P02","Y18H2920242",47,11,47,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - outer",3156,232.01,8,4.66666666666667,22.72,7,5.68,0,0,0,0,0,0,3.5,18.87,13.7375,9.53,0,0,0,0,0,0,"Yes","Yes","Yes"
"Y18H2920301P01","Y18H2920301",49,11,47,"female","employed","No",NA,"Clerical and Administrative Workers","Public Administration and Safety","2017-18","MELB - middle",3104,104.86,10,4.66666666666667,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26909090909091,8.28,"No","No","No"
"Y18H2920301P02","Y18H2920301",20,6,22,"female","unemployed","No","Full time","Not in Work Force","Not in Work Force","2017-18","MELB - middle",3104,145.83,10,0,0,6.18333333333333,3.6,7.23333333333333,27.52,0,0,0,0,0,0,6.18333333333333,3.6,7.23333333333333,27.52,0,0,0,0,"Yes","Yes","Yes"
"Y18H2920302P01","Y18H2920302",28,7,27,"male","employed","Yes",NA,"Managers","Information Media and Telecommunications","2017-18","MELB - middle",3104,151.56,10,11.0833333333333,31.65,0,0,0,0,0,0,0,0,11.0833333333333,31.65,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920302P02","Y18H2920302",27,7,27,"female","employed","Yes",NA,"Professionals","Health Care and Social Assistance","2017-18","MELB - middle",3104,146.76,10,23.45,67.67,0,0,0,0,0,0,0,0,19.1333333333333,51.86,6.4925,3.71,0,0,0,0,7.7,12.1,"No","Yes","No"
"Y18H2920305P01","Y18H2920305",42,10,42,"female","employed","No",NA,"Sales Workers","Retail Trade","2017-18","MELB - middle",3104,106.98,10,10.2666666666667,28.99,0,0,0,0,0,0,0,0,9.33333333333333,26.03,5.18,2.96,0,0,0,0,0,0,"No","Yes","No"
"Y18H2920305P02","Y18H2920305",41,10,42,"male","employed","Yes",NA,"Professionals","Financial and Insurance Services","2017-18","MELB - middle",3104,110.47,10,2.33333333333333,8.06,4.66666666666667,4.18,6.41666666666667,31.04,3.5,2.7,0,0,0,0,4.66666666666667,4.18,6.41666666666667,31.04,3.5,2.7,5.12909090909091,8.06,"Yes","Yes","Yes"
"Y18H2920306P01","Y18H2920306",57,13,57,"male","employed","Yes",NA,"Professionals","Manufacturing","2017-18","MELB - middle",3104,265.14,10,0,0,0,0,0,0,0.816666666666667,3.56,0,0,0,0,0,0,0,0,0.816666666666667,3.56,0,0,"No","No","No"
"Y18H2920313P01","Y18H2920313",38,9,37,"male","employed","Yes",NA,"Professionals","Financial and Insurance Services","2017-18","MELB - middle",3104,377.65,10,2.33333333333333,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61363636363636,7.25,"No","No","No"
"Y18H2920313P02","Y18H2920313",36,9,37,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3104,359.24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920315P01","Y18H2920315",33,8,32,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3104,115.65,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920315P02","Y18H2920315",32,8,32,"male","employed","Yes",NA,"Professionals","Financial and Insurance Services","2017-18","MELB - middle",3104,119.43,10,8.16666666666667,33.78,0,0,0,0,0,0,0,0,8.16666666666667,33.78,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920318P01","Y18H2920318",52,12,52,"male","employed","Yes",NA,"Sales Workers","Wholesale Trade","2017-18","MELB - middle",3104,97.53,10,15.1666666666667,36.5,0,0,0,0,0,0,0,0,15.1666666666667,36.5,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920318P02","Y18H2920318",51,12,52,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3104,94.45,10,7.58333333333333,15.97,0,0,0,0,0,0,0,0,5.83333333333333,10.98,0,0,0,0,0,0,3.17545454545455,4.99,"No","No","No"
"Y18H2920319P01","Y18H2920319",59,13,57,"male","employed","Yes",NA,"Managers","Health Care and Social Assistance","2017-18","MELB - middle",3104,97.53,10,25.6666666666667,302.39,0,0,0,0,0,0,0,0,25.6666666666667,302.39,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920319P02","Y18H2920319",58,13,57,"female","unemployed","No",NA,"Community and Personal Service Workers","Health Care and Social Assistance","2017-18","MELB - middle",3104,94.45,10,5.83333333333333,14.08,0,0,0,0,0,0,0,0,2.33333333333333,6.93,0,0,0,0,0,0,4.55,7.15,"No","No","No"
"Y18H2920320P01","Y18H2920320",38,9,37,"female","employed","Yes",NA,"Technicians and Trades Workers","Health Care and Social Assistance","2017-18","MELB - middle",3104,359.24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920320P02","Y18H2920320",37,9,37,"male","employed","Yes",NA,"Not in Work Force","Information Media and Telecommunications","2017-18","MELB - middle",3104,377.65,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920322P01","Y18H2920322",58,13,57,"male","employed","No",NA,"Community and Personal Service Workers","Health Care and Social Assistance","2017-18","MELB - middle",3105,104.23,8,16.9166666666667,68.41,2.33333333333333,1.16,0,0,0,0,0,0,16.9166666666667,68.41,2.33333333333333,1.16,0,0,0,0,0,0,"Yes","Yes","Yes"
"Y18H2920323P01","Y18H2920323",51,12,52,"female","employed","Yes",NA,"Professionals","Education and Training","2017-18","MELB - middle",3105,101.57,8,10.5,45.82,0,0,0,0,5.25,22.4,0,0,10.5,45.82,0,0,0,0,5.25,22.4,0,0,"No","No","No"
"Y18H2920331P01","Y18H2920331",45,11,47,"female","employed","Yes",NA,"Professionals","Public Administration and Safety","2017-18","MELB - middle",3105,116.08,8,5.83333333333333,12.61,2.1,0.2,0,0,0,0,0,0,0,0,18.6375,9.65,0,0,0,0,2.01090909090909,3.16,"Yes","Yes","Yes"
"Y18H2920332P01","Y18H2920332",65,15,67,"male","employed","Yes",NA,"Community and Personal Service Workers","Other Services","2017-18","MELB - middle",3105,104.62,8,1.16666666666667,1.51,0,0,0,0,0,0,0,0,0,0,2.6425,1.51,0,0,0,0,0,0,"No","Yes","No"
"Y18H2920332P02","Y18H2920332",25,7,27,"female","employed","No",NA,"Managers","Accommodation and Food Services","2017-18","MELB - middle",3105,162.24,8,7,15.24,0,0,0,0,0,0,0,0,7,15.24,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920336P01","Y18H2920336",75,17,77,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3105,124.75,8,0.933333333333333,1.7,0,0,0,0,0,0,0,0,0,0,2.975,1.7,0,0,0,0,0,0,"No","Yes","No"
"Y18H2920338P01","Y18H2920338",47,11,47,"male","employed","Yes",NA,"Machinery Operators and Drivers","Manufacturing","2017-18","MELB - middle",3105,119.87,8,0,0,0,0,0,0,9.91666666666667,33.78,0,0,0,0,0,0,0,0,9.91666666666667,33.78,0,0,"No","No","No"
"Y18H2920339P01","Y18H2920339",74,16,72,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3105,127.3,8,10.5,32.27,0,0,0,0,0,0,0,0,10.5,32.27,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920339P02","Y18H2920339",67,15,67,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3105,101.31,8,10.5,32.27,0,0,0,0,0,0,0,0,10.5,32.27,0,0,0,0,0,0,0,0,"No","No","No"
"Y18H2920340P01","Y18H2920340",56,13,57,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force","2017-18","MELB - middle",3105,106.33,8,3.85,7.89,5.83333333333333,3.19,6.41666666666667,30.56,0,0,0,0,0,0,5.83333333333333,3.19,6.41666666666667,30.56,0,0,5.02090909090909,7.89,"Yes","Yes","Yes"
"Y18H2920340P02","Y18H2920340",27,7,27,"female","employed","Yes",NA,"Professionals","Public Administration and Safety","2017-18","MELB - middle",3105,162.19,8,4.66666666666667,27.54,2.91666666666667,1.54,8.28333333333333,33.27,0,0,0,0,3.5,26.79,4.22916666666667,2.29,8.28333333333333,33.27,0,0,0,0,"Yes","Yes","Yes"
"Y18H2920340P03","Y18H2920340",24,6,22,"female","employed","No","Full time","Sales Workers","Retail Trade","2017-18","MELB - middle",3105,162.19,8,5.25,15.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0418181818182,15.78,"No","No","No"
"Y18H2920405P01","Y18H2920405",32,8,32,"female","employed","No",NA,"Managers","Manufacturing","2017-18","MELB - middle",3073,129.44,3,0,0,7,3.7,0,0,0,0,0,0,0,0,7,3.7,0,0,0,0,0,0,"Yes","Yes","Yes"
